OrderID,OrderDate,Region,Segment,Category,SubCategory,Product,Quantity,UnitPrice,Discount,Sales,Profit,CustomerSegment
ORD1048,2023-10-04,North,Corporate,Office Supplies,Art,Markers Set,4,556.04,0.1,2001.74,489.75,Home Office
ORD1049,2023-01-22,North,Corporate,Furniture,Bookcases,3-Shelf Bookcase,6,888.91,0.2,4266.77,754.81,Education
ORD1050,2023-02-20,East,Consumer,Office Supplies,Art,Sketch Pad,6,1360.09,0.1,7344.49,1618.65,Consumer
ORD1051,2023-10-11,South,Home Office,Technology,Phones,XPhone Pro,1,300.91,0.2,240.73,53.83,Home Office
ORD1052,2023-10-31,East,Corporate,Office Supplies,Art,Markers Set,3,862.29,0.0,2586.87,430.72,Home Office
ORD1053,2023-01-06,West,Home Office,Technology,Phones,Pixel 7,3,1124.1,0.2,2697.84,465.93,Home Office
ORD1054,2023-10-07,North,Consumer,Furniture,Tables,Meeting Table,5,647.99,0.2,2591.96,337.19,Home Office
ORD1055,2023-04-26,South,Education,Office Supplies,Appliances,Label Maker,5,583.8,0.0,2919.0,646.61,Consumer
ORD1056,2023-09-13,North,Consumer,Office Supplies,Binders,2-Ring Binder,3,262.54,0.0,787.62,199.18,Home Office
ORD1057,2023-11-19,South,Education,Technology,Phones,Galaxy S22,6,154.79,0.05,882.3,149.94,Home Office
ORD1058,2023-05-07,North,Home Office,Technology,Accessories,USB-C Cable,3,449.98,0.05,1282.44,264.41,Home Office
ORD1059,2023-10-26,West,Corporate,Technology,Accessories,Wireless Mouse,6,545.64,0.2,2619.07,555.21,Education
ORD1060,2023-06-19,North,Corporate,Office Supplies,Art,Highlighters Pack,2,1217.07,0.0,2434.14,481.99,Corporate
ORD1061,2023-11-09,East,Corporate,Office Supplies,Paper,Legal Paper,4,1199.46,0.0,4797.84,1083.64,Consumer
ORD1062,2023-09-21,West,Corporate,Technology,Printers,LaserJet 500,6,1195.73,0.15,6098.22,812.18,Home Office
ORD1063,2023-12-08,South,Corporate,Technology,Accessories,Charger,3,703.74,0.2,1688.98,405.37,Home Office
ORD1064,2023-05-30,East,Consumer,Furniture,Bookcases,5-Shelf Bookcase,2,1292.0,0.0,2584.0,240.85,Home Office
ORD1065,2023-09-21,North,Consumer,Furniture,Tables,Meeting Table,5,414.6,0.15,1762.05,193.75,Home Office
ORD1066,2023-01-05,North,Consumer,Office Supplies,Appliances,Lamination Machine,4,1264.61,0.15,4299.67,1160.54,Home Office
ORD1067,2023-11-04,West,Consumer,Furniture,Tables,Office Desk,5,1454.61,0.05,6909.4,675.9,Consumer
ORD1068,2023-06-07,West,Consumer,Office Supplies,Binders,3-Ring Binder,3,1194.83,0.1,3226.04,633.03,Education
ORD1069,2023-08-17,North,Home Office,Office Supplies,Art,Sketch Pad,2,1444.35,0.0,2888.7,625.57,Consumer
ORD1070,2023-05-09,East,Home Office,Office Supplies,Appliances,Lamination Machine,2,1373.67,0.05,2609.97,549.19,Education
ORD1071,2023-03-30,East,Corporate,Technology,Printers,All-in-One 700,5,427.1,0.2,1708.4,297.02,Education
ORD1072,2023-07-11,South,Home Office,Furniture,Chairs,Executive Chair,5,921.46,0.1,4146.57,406.69,Home Office
ORD1073,2023-03-27,South,Education,Office Supplies,Art,Highlighters Pack,1,519.4,0.15,441.49,80.18,Education
ORD1074,2023-03-10,West,Corporate,Office Supplies,Appliances,Label Maker,1,474.01,0.15,402.91,97.09,Corporate
ORD1075,2023-04-10,North,Home Office,Office Supplies,Art,Markers Set,1,702.36,0.2,561.89,133.73,Corporate
ORD1076,2023-01-23,East,Corporate,Technology,Accessories,USB-C Cable,2,927.62,0.2,1484.19,252.71,Consumer
ORD1077,2023-09-07,South,Education,Office Supplies,Paper,Legal Paper,3,759.67,0.0,2279.01,537.25,Education
ORD1078,2023-11-21,South,Education,Furniture,Storage,Mobile Drawer,5,252.77,0.05,1200.66,146.59,Corporate
ORD1079,2023-12-06,North,Consumer,Furniture,Tables,Standing Desk,4,588.37,0.15,2000.46,216.93,Education
ORD1080,2023-02-02,North,Corporate,Technology,Printers,InkJet 300,1,1218.69,0.1,1096.82,192.43,Education
ORD1081,2023-06-17,East,Education,Office Supplies,Appliances,Label Maker,2,317.96,0.2,508.74,120.9,Education
ORD1082,2023-01-12,South,Education,Furniture,Bookcases,3-Shelf Bookcase,6,37.15,0.1,200.61,14.78,Home Office
ORD1083,2023-03-31,West,Corporate,Furniture,Storage,Mobile Drawer,5,1268.86,0.05,6027.08,925.2,Home Office
ORD1084,2023-04-25,South,Home Office,Furniture,Bookcases,3-Shelf Bookcase,1,749.1,0.05,711.64,105.72,Corporate
ORD1085,2023-08-05,South,Corporate,Furniture,Tables,Meeting Table,5,1451.7,0.15,6169.72,1009.22,Corporate
ORD1086,2023-12-23,North,Education,Furniture,Bookcases,5-Shelf Bookcase,1,857.1,0.1,771.39,92.08,Education
ORD1087,2023-04-06,North,Corporate,Furniture,Storage,Mobile Drawer,6,847.18,0.15,4320.62,533.68,Education
ORD1088,2023-07-02,West,Consumer,Furniture,Bookcases,5-Shelf Bookcase,5,1112.46,0.1,5006.07,796.79,Education
ORD1089,2023-12-08,South,Education,Technology,Laptops,Workstation 14,5,1344.33,0.0,6721.65,1214.13,Education
ORD1090,2023-04-10,North,Education,Furniture,Storage,Mobile Drawer,4,1438.23,0.1,5177.63,579.22,Education
ORD1091,2023-07-25,South,Consumer,Furniture,Chairs,Ergo Chair,4,864.42,0.2,2766.14,281.06,Education
ORD1092,2023-03-10,South,Education,Technology,Phones,Galaxy S22,3,907.64,0.15,2314.48,497.02,Education
ORD1093,2023-05-31,East,Corporate,Furniture,Bookcases,5-Shelf Bookcase,1,179.06,0.2,143.25,20.59,Education
ORD1094,2023-02-11,East,Education,Furniture,Chairs,Executive Chair,2,95.76,0.05,181.94,27.16,Consumer
ORD1095,2023-08-23,North,Home Office,Technology,Phones,XPhone Mini,3,184.43,0.15,470.3,82.58,Consumer
ORD1096,2023-01-09,South,Corporate,Technology,Accessories,Wireless Mouse,2,1257.08,0.0,2514.16,419.87,Corporate
ORD1097,2023-10-10,West,Consumer,Office Supplies,Binders,3-Ring Binder,2,228.44,0.2,365.5,82.64,Home Office
ORD1098,2023-06-14,East,Corporate,Office Supplies,Paper,A4 Paper,6,1480.09,0.2,7104.43,1809.01,Home Office
ORD1099,2023-11-23,North,Consumer,Furniture,Storage,Steel Cabinet,1,891.91,0.15,758.12,80.12,Corporate
ORD1100,2023-03-11,North,Corporate,Technology,Laptops,Ultrabook 13,4,134.42,0.2,430.14,96.5,Consumer
ORD1101,2023-07-21,East,Education,Office Supplies,Art,Markers Set,2,502.08,0.1,903.74,174.98,Home Office
ORD1102,2023-06-22,North,Education,Furniture,Chairs,Executive Chair,5,613.75,0.05,2915.31,424.35,Home Office
ORD1103,2023-12-27,West,Corporate,Furniture,Tables,Meeting Table,1,1024.75,0.15,871.04,124.6,Home Office
ORD1104,2023-07-09,West,Education,Furniture,Bookcases,5-Shelf Bookcase,1,568.56,0.0,568.56,69.21,Corporate
ORD1105,2023-04-27,North,Home Office,Furniture,Tables,Office Desk,6,1205.14,0.2,5784.67,547.67,Education
ORD1106,2023-06-09,East,Consumer,Furniture,Bookcases,3-Shelf Bookcase,5,74.31,0.2,297.24,34.17,Education
ORD1107,2023-05-27,South,Home Office,Furniture,Bookcases,5-Shelf Bookcase,4,122.4,0.0,489.6,62.94,Home Office
ORD1108,2023-11-01,North,Corporate,Technology,Accessories,Charger,6,448.8,0.0,2692.8,581.68,Education
ORD1109,2023-05-24,South,Education,Office Supplies,Appliances,Lamination Machine,1,1373.73,0.05,1305.04,358.21,Consumer
ORD1110,2023-08-12,North,Home Office,Technology,Printers,All-in-One 700,6,688.93,0.15,3513.54,528.38,Corporate
ORD1111,2023-06-13,East,Home Office,Furniture,Bookcases,5-Shelf Bookcase,2,588.52,0.15,1000.48,105.32,Home Office
ORD1112,2023-06-27,East,Education,Furniture,Bookcases,5-Shelf Bookcase,4,125.82,0.0,503.28,55.51,Corporate
ORD1113,2023-05-25,North,Corporate,Furniture,Chairs,Task Chair,1,471.2,0.15,400.52,28.12,Corporate
ORD1114,2023-08-08,South,Corporate,Office Supplies,Appliances,Lamination Machine,5,208.45,0.1,938.02,227.24,Home Office
ORD1115,2023-01-10,North,Corporate,Furniture,Tables,Office Desk,6,1300.44,0.2,6242.11,1025.58,Corporate
ORD1116,2023-01-05,East,Consumer,Office Supplies,Binders,3-Ring Binder,1,1168.63,0.05,1110.2,187.19,Consumer
ORD1117,2023-12-08,North,Home Office,Office Supplies,Binders,3-Ring Binder,3,1264.76,0.2,3035.42,791.08,Consumer
ORD1118,2023-04-08,North,Home Office,Furniture,Storage,Steel Cabinet,1,628.08,0.0,628.08,81.82,Home Office
ORD1119,2023-05-13,South,Consumer,Furniture,Storage,Mobile Drawer,6,1370.62,0.2,6578.98,1166.76,Consumer
ORD1120,2023-02-22,West,Education,Technology,Phones,XPhone Pro,5,1138.05,0.1,5121.23,873.73,Corporate
ORD1121,2023-01-01,East,Consumer,Technology,Phones,Pixel 7,3,419.35,0.15,1069.34,141.18,Corporate
ORD1122,2023-10-15,West,Education,Furniture,Bookcases,5-Shelf Bookcase,2,543.66,0.05,1032.95,16.17,Home Office
ORD1123,2023-09-16,North,Consumer,Technology,Accessories,Keyboard,3,468.59,0.0,1405.77,241.73,Consumer
ORD1124,2023-02-23,South,Corporate,Technology,Phones,XPhone Pro,4,845.8,0.1,3044.88,454.87,Consumer
ORD1125,2023-10-30,West,Education,Office Supplies,Appliances,Lamination Machine,5,934.26,0.05,4437.73,940.48,Consumer
ORD1126,2023-03-16,South,Home Office,Office Supplies,Art,Sketch Pad,3,1355.7,0.15,3457.04,766.16,Education
ORD1127,2023-12-04,North,Corporate,Furniture,Tables,Office Desk,6,836.68,0.1,4518.07,574.75,Consumer
ORD1128,2023-11-04,South,Corporate,Furniture,Tables,Standing Desk,1,775.84,0.15,659.46,83.49,Consumer
ORD1129,2023-03-22,South,Home Office,Office Supplies,Art,Highlighters Pack,5,1196.74,0.05,5684.52,929.33,Consumer
ORD1130,2023-07-03,West,Home Office,Office Supplies,Appliances,Lamination Machine,1,743.25,0.15,631.76,110.12,Education
ORD1131,2023-05-06,West,Consumer,Office Supplies,Paper,Legal Paper,3,873.68,0.1,2358.94,604.31,Home Office
ORD1132,2023-04-21,East,Consumer,Technology,Accessories,USB-C Cable,1,695.58,0.1,626.02,119.57,Home Office
ORD1133,2023-12-26,North,Corporate,Furniture,Storage,Steel Cabinet,4,525.04,0.1,1890.14,173.52,Corporate
ORD1134,2023-12-18,West,Education,Technology,Printers,LaserJet 500,3,777.7,0.05,2216.45,308.15,Education
ORD1135,2023-10-04,East,Home Office,Office Supplies,Paper,A4 Paper,5,524.17,0.05,2489.81,585.41,Home Office
ORD1136,2023-11-13,West,Education,Furniture,Storage,Mobile Drawer,6,142.17,0.0,853.02,47.45,Education
ORD1137,2023-02-15,North,Home Office,Furniture,Bookcases,3-Shelf Bookcase,2,201.84,0.05,383.5,51.92,Education
ORD1138,2023-10-28,North,Education,Furniture,Chairs,Ergo Chair,3,68.58,0.0,205.74,36.81,Home Office
ORD1139,2023-02-25,West,Education,Technology,Accessories,Keyboard,6,243.9,0.2,1170.72,203.8,Corporate
ORD1140,2023-12-03,East,Education,Office Supplies,Appliances,Shredder,2,1303.77,0.0,2607.54,587.59,Consumer
ORD1141,2023-10-30,South,Corporate,Furniture,Chairs,Task Chair,6,361.81,0.15,1845.23,223.4,Education
ORD1142,2023-03-19,North,Corporate,Technology,Printers,InkJet 300,2,1123.73,0.1,2022.71,415.75,Corporate
ORD1143,2023-04-21,West,Home Office,Office Supplies,Art,Highlighters Pack,6,1126.93,0.15,5747.34,1094.07,Education
ORD1144,2023-10-01,West,Corporate,Furniture,Tables,Office Desk,2,537.68,0.1,967.82,92.61,Corporate
ORD1145,2023-01-28,South,Consumer,Furniture,Storage,Steel Cabinet,2,850.31,0.0,1700.62,157.93,Home Office
ORD1146,2023-08-19,North,Home Office,Office Supplies,Art,Sketch Pad,6,497.97,0.15,2539.65,505.2,Education
ORD1147,2023-01-25,South,Education,Office Supplies,Appliances,Lamination Machine,4,539.11,0.0,2156.44,397.22,Home Office
ORD1148,2023-04-19,West,Education,Furniture,Tables,Meeting Table,2,139.51,0.05,265.07,48.38,Corporate
ORD1149,2023-08-24,West,Corporate,Furniture,Chairs,Executive Chair,3,574.37,0.2,1378.49,222.94,Education
ORD1150,2023-01-06,West,Education,Office Supplies,Binders,3-Ring Binder,4,972.42,0.05,3695.2,811.7,Consumer
ORD1151,2023-08-17,South,Home Office,Technology,Printers,InkJet 300,1,363.47,0.2,290.78,38.05,Education
ORD1152,2023-07-17,North,Corporate,Furniture,Tables,Standing Desk,6,376.48,0.15,1920.05,276.34,Education
ORD1153,2023-12-01,East,Home Office,Office Supplies,Appliances,Label Maker,6,1462.85,0.1,7899.39,1772.28,Consumer
ORD1154,2023-03-03,East,Education,Furniture,Storage,Mobile Drawer,1,1080.5,0.1,972.45,67.99,Consumer
ORD1155,2023-10-27,South,Home Office,Technology,Phones,Pixel 7,5,288.7,0.15,1226.97,240.86,Consumer
ORD1156,2023-10-02,North,Education,Technology,Laptops,Ultrabook 13,4,766.34,0.0,3065.36,721.61,Consumer
ORD1157,2023-05-22,East,Consumer,Furniture,Bookcases,5-Shelf Bookcase,6,876.04,0.1,4730.62,605.42,Education
ORD1158,2023-12-22,South,Corporate,Office Supplies,Appliances,Label Maker,5,803.56,0.0,4017.8,793.76,Corporate
ORD1159,2023-09-18,South,Corporate,Technology,Printers,All-in-One 700,2,1485.04,0.2,2376.06,275.23,Corporate
ORD1160,2023-06-17,West,Corporate,Technology,Printers,All-in-One 700,2,140.92,0.2,225.47,56.75,Home Office
ORD1161,2023-04-04,West,Home Office,Office Supplies,Paper,Legal Paper,1,1277.58,0.15,1085.94,219.22,Home Office
ORD1162,2023-08-24,South,Consumer,Furniture,Bookcases,5-Shelf Bookcase,2,195.2,0.1,351.36,43.08,Education
ORD1163,2023-03-01,East,Education,Furniture,Tables,Office Desk,5,218.26,0.0,1091.3,125.86,Education
ORD1164,2023-08-17,North,Corporate,Furniture,Bookcases,5-Shelf Bookcase,6,1201.31,0.1,6487.07,855.21,Home Office
ORD1165,2023-03-19,North,Education,Furniture,Chairs,Task Chair,2,1362.72,0.0,2725.44,292.63,Consumer
ORD1166,2023-08-25,West,Home Office,Technology,Laptops,Ultrabook 15,2,594.74,0.1,1070.53,215.43,Corporate
ORD1167,2023-03-04,East,Corporate,Office Supplies,Paper,Photo Paper,1,356.0,0.0,356.0,101.91,Consumer
ORD1168,2023-11-05,East,Education,Technology,Laptops,Ultrabook 15,3,818.85,0.1,2210.9,299.89,Consumer
ORD1169,2023-01-15,East,Home Office,Office Supplies,Appliances,Shredder,5,748.18,0.1,3366.81,856.22,Corporate
ORD1170,2023-06-06,South,Home Office,Office Supplies,Art,Markers Set,6,1131.08,0.2,5429.18,1329.66,Home Office
ORD1171,2023-09-11,West,Home Office,Office Supplies,Art,Markers Set,4,859.14,0.05,3264.73,634.39,Education
ORD1172,2023-01-05,North,Corporate,Technology,Printers,All-in-One 700,3,1134.41,0.2,2722.58,468.02,Home Office
ORD1173,2023-06-06,North,Education,Technology,Laptops,Ultrabook 13,5,734.67,0.15,3122.35,470.34,Education
ORD1174,2023-11-28,East,Home Office,Office Supplies,Appliances,Label Maker,5,1082.85,0.1,4872.82,1132.46,Home Office
ORD1175,2023-10-26,North,Corporate,Furniture,Chairs,Task Chair,3,525.09,0.1,1417.74,249.95,Home Office
ORD1176,2023-09-11,South,Consumer,Office Supplies,Appliances,Label Maker,2,520.36,0.05,988.68,222.86,Home Office
ORD1177,2023-04-21,West,Consumer,Technology,Phones,XPhone Mini,4,893.51,0.15,3037.93,787.76,Home Office
ORD1178,2023-12-22,West,Consumer,Technology,Accessories,Wireless Mouse,4,1187.23,0.2,3799.14,593.75,Education
ORD1179,2023-04-02,West,Home Office,Office Supplies,Appliances,Label Maker,2,112.69,0.1,202.84,47.49,Corporate
ORD1180,2023-01-29,West,Consumer,Furniture,Storage,Steel Cabinet,6,1402.21,0.1,7571.93,683.84,Consumer
ORD1181,2023-12-12,East,Corporate,Furniture,Storage,Mobile Drawer,6,287.62,0.0,1725.72,200.57,Home Office
ORD1182,2023-01-01,North,Home Office,Office Supplies,Art,Markers Set,6,783.07,0.2,3758.74,984.47,Education
ORD1183,2023-07-21,East,Corporate,Technology,Printers,InkJet 300,4,1183.81,0.05,4498.48,716.55,Corporate
ORD1184,2023-10-18,North,Consumer,Furniture,Tables,Standing Desk,4,810.72,0.1,2918.59,344.5,Corporate
ORD1185,2023-12-13,North,Corporate,Office Supplies,Binders,2-Ring Binder,1,884.73,0.1,796.26,194.46,Home Office
ORD1186,2023-12-30,South,Consumer,Furniture,Tables,Standing Desk,3,219.88,0.0,659.64,25.79,Home Office
ORD1187,2023-12-10,South,Consumer,Office Supplies,Paper,A4 Paper,1,549.97,0.1,494.97,108.09,Consumer
ORD1188,2023-05-30,East,Corporate,Office Supplies,Art,Markers Set,2,29.51,0.2,47.22,11.02,Corporate
ORD1189,2023-12-27,East,Consumer,Technology,Printers,All-in-One 700,1,840.38,0.15,714.32,128.88,Consumer
ORD1190,2023-03-04,North,Education,Furniture,Bookcases,3-Shelf Bookcase,5,284.85,0.0,1424.25,133.7,Education
ORD1191,2023-07-30,South,Consumer,Office Supplies,Art,Highlighters Pack,6,315.66,0.2,1515.17,260.07,Consumer
ORD1192,2023-11-01,North,Education,Furniture,Storage,Mobile Drawer,5,572.81,0.1,2577.64,416.69,Education
ORD1193,2023-04-23,West,Consumer,Technology,Laptops,Ultrabook 15,2,750.55,0.1,1350.99,135.4,Consumer
ORD1194,2023-11-15,South,Home Office,Office Supplies,Art,Highlighters Pack,4,281.07,0.2,899.42,200.83,Home Office
ORD1195,2023-09-23,West,Education,Technology,Phones,XPhone Pro,2,1347.17,0.05,2559.62,446.61,Education
ORD1196,2023-03-28,West,Corporate,Furniture,Bookcases,5-Shelf Bookcase,4,1261.29,0.2,4036.13,632.32,Education
ORD1197,2023-11-19,West,Consumer,Furniture,Storage,Steel Cabinet,3,763.21,0.0,2289.63,125.4,Home Office
ORD1198,2023-08-27,East,Corporate,Office Supplies,Appliances,Shredder,5,276.03,0.0,1380.15,374.71,Consumer
ORD1199,2023-10-18,North,Consumer,Furniture,Chairs,Task Chair,6,908.76,0.1,4907.3,653.79,Home Office
ORD1200,2023-06-14,South,Consumer,Office Supplies,Art,Sketch Pad,6,315.43,0.05,1797.95,413.14,Consumer
ORD1201,2023-07-07,West,Home Office,Office Supplies,Appliances,Label Maker,2,1340.08,0.2,2144.13,391.23,Consumer
ORD1202,2023-01-11,East,Home Office,Furniture,Chairs,Task Chair,2,1239.41,0.1,2230.94,163.53,Corporate
ORD1203,2023-09-18,South,Education,Technology,Phones,Galaxy S22,5,620.02,0.0,3100.1,614.38,Home Office
ORD1204,2023-08-14,North,Home Office,Office Supplies,Binders,3-Ring Binder,5,448.75,0.15,1907.19,429.1,Consumer
ORD1205,2023-02-28,East,Consumer,Technology,Laptops,Gaming 16,6,711.89,0.0,4271.34,643.78,Home Office
ORD1206,2023-04-25,East,Consumer,Technology,Accessories,Charger,1,410.33,0.05,389.81,54.4,Consumer
ORD1207,2023-09-03,South,Consumer,Technology,Accessories,Charger,6,1254.05,0.15,6395.65,1293.83,Education
ORD1208,2023-06-03,West,Home Office,Technology,Laptops,Gaming 16,2,1351.85,0.05,2568.52,336.76,Home Office
ORD1209,2023-01-17,North,Consumer,Technology,Accessories,USB-C Cable,5,980.62,0.05,4657.94,915.55,Consumer
ORD1210,2023-03-17,East,Education,Office Supplies,Appliances,Lamination Machine,5,26.38,0.2,105.52,20.37,Education
ORD1211,2023-08-07,West,Home Office,Technology,Phones,Galaxy S22,2,904.77,0.0,1809.54,276.34,Education
ORD1212,2023-11-05,North,Home Office,Office Supplies,Appliances,Label Maker,2,1372.47,0.05,2607.69,683.52,Home Office
ORD1213,2023-02-15,North,Corporate,Furniture,Chairs,Ergo Chair,2,257.76,0.1,463.97,48.78,Corporate
ORD1214,2023-07-12,East,Corporate,Technology,Laptops,Gaming 16,3,144.6,0.1,390.42,63.11,Home Office
ORD1215,2023-10-23,North,Consumer,Furniture,Storage,Mobile Drawer,3,539.95,0.0,1619.85,126.02,Corporate
ORD1216,2023-07-06,West,Corporate,Office Supplies,Art,Markers Set,3,1424.47,0.2,3418.73,572.15,Education
ORD1217,2023-08-27,North,Education,Technology,Printers,InkJet 300,4,251.4,0.15,854.76,150.68,Home Office
ORD1218,2023-12-03,West,Education,Office Supplies,Appliances,Lamination Machine,6,1433.3,0.1,7739.82,1969.62,Consumer
ORD1219,2023-03-14,West,Consumer,Furniture,Tables,Meeting Table,1,533.79,0.0,533.79,52.79,Education
ORD1220,2023-08-05,East,Consumer,Furniture,Chairs,Ergo Chair,5,1035.72,0.05,4919.67,472.74,Education
ORD1221,2023-08-17,West,Consumer,Furniture,Bookcases,5-Shelf Bookcase,4,1045.1,0.05,3971.38,467.54,Corporate
ORD1222,2023-01-12,East,Corporate,Technology,Phones,XPhone Pro,3,478.75,0.1,1292.62,229.79,Home Office
ORD1223,2023-10-30,East,Corporate,Technology,Phones,XPhone Pro,4,817.43,0.1,2942.75,584.49,Home Office
ORD1224,2023-09-21,South,Corporate,Office Supplies,Binders,2-Ring Binder,5,1140.96,0.2,4563.84,1118.22,Corporate
ORD1225,2023-01-25,West,Education,Office Supplies,Appliances,Label Maker,2,739.24,0.1,1330.63,311.07,Home Office
ORD1226,2023-12-31,East,Corporate,Furniture,Chairs,Executive Chair,2,68.75,0.05,130.62,10.77,Education
ORD1227,2023-09-27,East,Home Office,Office Supplies,Paper,Legal Paper,5,1099.23,0.1,4946.54,1474.96,Consumer
